Chip Run Info;\\pnas1.stockage.inra.fr\vdl-isp\Ibir\Fluidigm\2023_03_28_CGitton\ChipRun.bml;1362900136;96.96 (136x);GE 96x96 Fast PCR+Melt v2;ROX;EvaGreen;28/03/2023 18:35;00:30:37;BIOMARKHD434;SamplePlateName: Undefined;SamplePlateBarCode: Undefined;ReagentPlateName: Undefined;ReagentPlateBarCode: Undefined;;;;;;;;;;;
Application Version;4.7.1;;;;;;;;;;;;;;;;;;;;;;;
Application Build;20200930.1707;;;;;;;;;;;;;;;;;;;;;;;
Export Type;Table Results;;;;;;;;;;;;;;;;;;;;;;;
Quality Threshold;0,65;;;;;;;;;;;;;;;;;;;;;;;
Baseline Correction Method;Linear (Derivative);;;;;;;;;;;;;;;;;;;;;;;
Ct Threshold Method;Auto (Global);;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Experiment Information;Experiment Information;Experiment Information;Experiment Information;Experiment Information;Experiment Information;Experiment Information;Experiment Information;EvaGreen;EvaGreen;EvaGreen;EvaGreen;EvaGreen;EvaGreen;EvaGreen;EvaGreen;EvaGreen;EvaGreen;EvaGreen;EvaGreen;EvaGreen;EvaGreen;EvaGreen;EvaGreen;EvaGreen
Chamber;Sample;Sample;Sample;Sample;EvaGreen;EvaGreen;EvaGreen;Ct;Ct;Ct;Ct;Delta Ct Sample;Delta Ct Sample;Delta Ct Sample;Delta Ct Reagent;Delta Ct Reagent;Delta Ct Reagent;Delta Delta Ct;Delta Delta Ct;Delta Delta Ct;Delta Delta Ct;Tm;Tm;Tm
ID;Name;Type;rConc;Reference;Name;Type;Reference;Value;Quality;Call;Threshold;Value;Quality;Call;Value;Quality;Call;Value;Fold Change;Quality;Call;In Range;Out Range;Peak Ratio
S35-A80;ADNc-ANSES-5;Unknown;1;ADNc-ANSES-1;ABCG2;Test;ACTB,GAPDH,PPIA;17,96591775;1;Pass;0,015433382;0,055009363;1;Pass;11,86329516;0,956779959;Pass;0,211069579;0,863896522;0,956779959;Pass;81,89481921;999;1
S64-A80;ADNc-409;Unknown;1;;ABCG2;Test;ACTB,GAPDH,PPIA;11,42392886;1;Pass;0,015433382;999;0;Flag;1,644611355;1;Pass;999;-1;0;Flag;81,98067373;999;1
S34-A80;ADNc-326;Unknown;1;;ABCG2;Test;ACTB,GAPDH,PPIA;11,88920376;1;Pass;0,015433382;999;0;Flag;4,379529521;1;Pass;999;-1;0;Flag;81,65517925;999;1
S63-A80;ADNc-401;Unknown;1;;ABCG2;Test;ACTB,GAPDH,PPIA;11,29197336;1;Pass;0,015433382;999;0;Flag;-0,049689697;1;Pass;999;-1;0;Flag;81,95354244;999;1
S33-A80;ADNc-368;Unknown;1;;ABCG2;Test;ACTB,GAPDH,PPIA;18,78917103;1;Pass;0,015433382;999;0;Flag;8,127688488;1;Pass;999;-1;0;Flag;81,8801342;999;1
S62-A80;ADNc-393;Unknown;1;;ABCG2;Test;ACTB,GAPDH,PPIA;12,62172207;1;Pass;0,015433382;999;0;Flag;4,929120849;1;Pass;999;-1;0;Flag;81,93241862;999;1
S32-A80;ADNc-356;Unknown;1;;ABCG2;Test;ACTB,GAPDH,PPIA;11,08101287;1;Pass;0,015433382;999;0;Flag;4,483404472;1;Pass;999;-1;0;Flag;81,6233668;999;1
S61-A80;ADNc-385;Unknown;1;;ABCG2;Test;ACTB,GAPDH,PPIA;10,64393378;1;Pass;0,015433382;999;0;Flag;0,116382274;1;Pass;999;-1;0;Flag;81,97535318;999;1
S31-A80;ADNc-348;Unknown;1;;ABCG2;Test;ACTB,GAPDH,PPIA;10,03727619;1;Pass;0,015433382;999;0;Flag;0,311443735;1;Pass;999;-1;0;Flag;81,93953479;999;1
S60-A80;ADNc-ANSES-15;Unknown;1;ADNc-ANSES-2;ABCG2;Test;ACTB,GAPDH,PPIA;23,88319581;1;Pass;0,015433382;5,664477459;0,851070457;Pass;17,45693058;1;Pass;4,858248612;0,034476363;0,851070457;Pass;81,96267396;999;1
